edit_history_tweet_ids,id,text,label
['1597341301653270528'],1597341301653270528,"@marcofeliciano Tu consegue ser um cara nojento, tudo tem q por essa merda de política e ainda por cima metendo Jesus nesse meio, precisa voltar para a aula de teologia e aprender a não falar o nome dele em vão.",-1
['1597341295110127616'],1597341295110127616,"@rafacarrilhor Não vejo pq pegou mal, todo mundo tem o direito de assistir a copa onde quiser, pagando com o próprio dinheiro o que tem haver futebol com política?? É a seleção brasileira, independente se PT ou PL o time é o mesmo. Agora em política são mundos totalmente opostos.",0
['1597341280631066624'],1597341280631066624,"Amanhã episódio novo no podcast de educação política sobre futebol e política tendo como pano de fundo #CopaDoMundo2022 
#SelecaoBrasileira https://t.co/raX2B7AvVr",0
['1597341280396361728'],1597341280396361728,"Plano estratégico da Petrobras pode ser revisto e colocar companhia na rota da transição energética, diz Tolmasquim
https://t.co/EtE9qp6AT4",0
['1597341271785635840'],1597341271785635840,@RicardoMonrealA @Senadoesp Aguas https://t.co/QTwqT6HMm4,r
['1597341227535728642'],1597341227535728642,"@dcogo @Damadeferroofic E Lula que vive há 50 anos na política, só causando desgraça! 🤷",-1
['1597341219851751424'],1597341219851751424,"Será que o -03 e sua madame estão passando perrengue no Qatar?

""A gente não fica andando de iate, de barco à toa, de jatinho, de primeira classe. A gente passa por muito perrengue também"".

https://t.co/xOxtW7HJV6",-1
['1597341218161061888'],1597341218161061888,"@LUIZPATRIOTA39 Meu amigo, nenhum político merece tal esforço, acompanho política a 30 anos. TODOS só pensam em seus interesses pessoais e de um pequeno grupo ao seu entorno!",-1
['1597341196761694208'],1597341196761694208,@dojaciat @Pocah Vocês tão ficando tão obcecados em atacar o outro lado que se esquece que tamo na copa e teve jogo do Brasil e nossa bandeira sempre foi a bandeira do nosso país Brasil e nunca foi e nunca será sobre política,-1
['1597341173211074562'],1597341173211074562,"@LUIZPATRIOTA39 seja bem vindo Luiz, vcs estavam sendo enganados, sai do Zap, começa a acompanhar jornalistas responsáveis, acompanhe a política de perto e não idolatre ninguém, o cidadão tem que cobrar políticos, não idolatra-los",0
['1597341169411035136'],1597341169411035136,"#Política, #Espanya, #JADuranILleida . . . ‘Vá e fique’ https://t.co/hG19A0MiBH via @diariARA",r
['1597341159864819712'],1597341159864819712,Juízes federais ganham penduricalho por tempo de serviço e podem embolsar até R$ 2 milhões @estadao:  https://t.co/v5huhEnl1y,0
['1597341154634498048'],1597341154634498048,"A 20 dias do segundo turno, a streamer Marina Mamede gravou um vídeo criticando o presidente e afirmando que ""Lula é um verdeiro cristão"" https://t.co/tskuOBnaik",0
['1597341099206782976'],1597341099206782976,"O que desejam mesmo é continuar implantando essa política extremamente liberal, que acaba com os direitos trabalhistas, mas não toca nos privilégios da elite. O problema é que querem implantar na marra!!",-1
['1597341093716451328'],1597341093716451328,Representantes da Comissão Mista de Orçamento (CMO) e da equipe econômica do atual governo participam de audiência pública nesta terça-feira (29) para detalhar pontos da proposta orçamentária para 2023. https://t.co/6fGbhRxbmN,0
['1597341072497479680'],1597341072497479680,"@PedroRonchi2 https://t.co/IWx161ATWo

Ops caiu aqui",-1
['1597341064326746115'],1597341064326746115,"Ex-bolsonarista, deputada baiana debocha de apoiadores de Bolsonaro enquanto filho do presidente curte Copa

https://t.co/kZBlDh0vej",-1
['1597341029279010817'],1597341029279010817,"@Jorge_Mairink @coinwarcrypto @o_antagonista O problema pra vc, é que a verdade está sendo exposta TAMBÉM no Brasil!
Pq no mundo a verdade está sendo noticiada.
Vcs se preocupam tanto com as vidas.
Que votaram em um b4ndid0!
E que colocou os verdadeiros genocidas, na transição.  #Consórcionordeste
https://t.co/67NsqhX2jb",-1
['1597341017136836608'],1597341017136836608,@Vendramini_V @liacl66 @andrizek Fato. Esquerda que nada têm de patriotismo e respeito à posição política do cara e ainda por cima lhe desejam o mal. https://t.co/1ncJ9958QM,-1
['1597341012376293376'],1597341012376293376,"@randolfeap Meu Deus e inacreditável o que estamos vendo no Brasil, uma turma que só roubou o país por décadas e agora estão de volta por uma grande fraude na companha política, montada por uma impresa corrupta, um judiciário corrupto e esse câncer chamado Randolfe Rodrigues, não passarão!",-1
['1597341000569016320'],1597341000569016320,"@HeyHipocrita E nós achávamos que o Kim junto com MBL seriam coisas boas e novas para nossa política. Foi decaindo, agorinha some esses ai @KimKataguiri",-1
['1597340993724243969'],1597340993724243969,"Toda vez que tem cliente minha mãe vive falando de política, e a mesma coisa todo dia, eu sinceramente não aguento mais. Ela fala tanto mal do lula, mas não sabe a opinião da cliente, se eu fosse ela, nem voltava mais.",-1
['1597340964204707841'],1597340964204707841,@Gurbachov2 No como Vox que usa violencia política.,r
['1597340944139182080'],1597340944139182080,"""política stalinista de frentes progressistas ""

LKKKKKKKKKKKKKKKKKKKKKKKK
oq esperar de alho vindo do PCO né😂😂😂😂 https://t.co/lEvmsuMaaZ",-1
['1597340932135096320'],1597340932135096320,"@revistaoeste TSE se tornou um tribunal inquisitivo e de excessão e agora quer instalar seu ministério da verdade, formando sua própria polícia política.",-1
['1597340927634575360'],1597340927634575360,"@BlogdoNoblat Mas, jura? Achei que a frente ampla era pra fazer política. Jogo a gente assiste com os amigos. A presença do @geraldoalckmin só reflete o quanto ele andava com gente chata antes. Imagina assistir o jogo com o Aécio que comemora precocemente bola fora?",-1
['1597340922215559168'],1597340922215559168,"Vamos parar de falar de política pq a eleição acabou, vamos falar de programas de TV!
Qual o nome dessa paquita? https://t.co/ZWzij2dFt9",0
['1597340904867909632'],1597340904867909632,"@ECantanhede @LeilaneNeubarth solidariedade por que, ela que expos o neto pô, crianças tem que brincar, crescer feliz e não serem envolvidas em politica.",-1
['1597340895397183489'],1597340895397183489,"Monark ""desafiando"" gente da política pra ir conversar com ele sobre política é como aqueles random que aparece chamando top player pra 1x1 no Splatoon https://t.co/o4NLU1q7aC",-1
['1597340894474121216'],1597340894474121216,"@gduvivier Você é um babaca mesmo. Então, tudo bem chutar o cantor Gil, já que foi se meter em política, né? Então tudo bem. Já que tomaram as eleições, cala a boca , trabalha e unam o país seu jumento",-1
['1597340883133005824'],1597340883133005824,"Copa do Mundo: Eduardo Bolsonaro aparece no estádio durante jogo do Brasil contra a Suíça
A imagem foi mostrada no intervalo do jogo pelas câmeras oficiais da Fifa.
https://t.co/rnd8zkzDM0",0
['1597340881010724864'],1597340881010724864,"enfiou política no meio do NADA, que idiota https://t.co/CV20XbqaOs",-1
['1597340870667272192'],1597340870667272192,"Nas redes sociais, o deputado não fez nenhuma postagem sobre a viagem ao Qatar. 
https://t.co/t4dqmRZTPG",0
['1597340842049830912'],1597340842049830912,"Alô @STF_oficial @TSEjusbr @MPF_PGR @policiafederal 
@DefesaGovBr ,vejam que o QUADRILHÃO BRASIL é gigante
Brasil - Pátria Amadora e Crime Organizado- nao existe solução politica para o Brasil- responde @gilmarmendes e @alexandre https://t.co/1xIc4OcJmN",-1
['1597340839872978945'],1597340839872978945,"@AlexJacquesM @bellafalconi A Thatcher quebrou a Inglaterra com essa política, no chamado outubro vermelho, o expansionismo da liberação rentista internacional. Levou chapéu da Alemanha.",-1
['1597340829613711360'],1597340829613711360,"@MBLivre Acho que o MBosta L não entendeu,e que o povo clama pelo exército e não por políticos.a esperança na política já acabou faz tempo.",-1
['1597340821816504322'],1597340821816504322,"@STF_oficial, vocês vão ressuscitar os mortos e devolver o que os presos roubaram ou vão apenas desencarcerar os CUmpanheiros?
Lewandowski diz que presos vivem ‘em condições desumanas’ e defende desencarceramento
#STFOrganizacaoCriminosa

https://t.co/AblB8gDVNx",-1
['1597340814203834368'],1597340814203834368,@JornalOGlobo Na política chama de CC. Alavancando a carreira do filho,-1
['1597340807211646976'],1597340807211646976,"Sete pontos de debates que merecem atenção após tragédia de Aracruz

https://t.co/gLybxuiQGa",0
['1597340806213292032'],1597340806213292032,"política é meu cu, É COPA PORRA",r
['1597340799737335808'],1597340799737335808,"@Tomjefersonbr Ah sim, aí concordo. Se é punível xingar alguém por política, aí tem que punir todo mundo. Não é um ou outro, a depender do partido, da ideologia ou, pior, do político. O debate público virou um circo voluntário de viés. Os caras falam ""sou enviesado mermo, foda-se"" e pronto.",r
['1597340776639275009'],1597340776639275009,o cara que não gosta do neymar por causa de politica merece muita pica no cu kkkkk,-1
['1597340761267527682'],1597340761267527682,"Grupo de Noticias: https://t.co/oFQ1AK2ywr
Whastapp: https://t.co/ikPDkVFver
Facebook: https://t.co/jjKNvoRvBx
Instagram: @criptoideal
Telegram: https://t.co/HHWKJdpmNN

#noticias #actualidad #politica",r
['1597340751247314945'],1597340751247314945,@MarcusAlcntara5 @hermanomendez @mariovfsilveira @camaradamachado A gente tá em uma democracia fracassado por mais de 30 anos e a elite política tá super tranquila. Cada povo sustenta a elite que tolera. Seu argumento é razo,-1
['1597340741491388416'],1597340741491388416,"@ciro_nogueira 🇧🇷ESSA É A POLÍTICA ECONÔMICA DE BOLSONARO/GUEDES OFFSHORE🇧🇷

Mais pobres SE ENDIVIDAM para COMPRAR COMIDA 👇
https://t.co/It7PU8wVfe",-1
['1597340731194368001'],1597340731194368001,aliás galvao desde aquela corrigida no roger sobre maracanã x política ficou um clima tenso,0
['1597340713888407554'],1597340713888407554,"#POLÍTICA: PEC da Transição é oficialmente protocolada no Senado, com impacto de R$ 198 bi e prazo de 4 anos https://t.co/TuSOi1g2G9",0
['1597340657605312513'],1597340657605312513,"Depois de dias de negociação, o texto da PEC é praticamente o mesmo do ""rascunho"" apresentado semana retrasada: furo de R$ 200 bi com excepcionalização de Bolsa Família e coisas menores. 

Sinal de que a política falhou. O texto vai ser limado durante a tramitação.",-1
['1597340657395597312'],1597340657395597312,"@marcospereira04 Impressionante, que existe um inquérito de ""fake News"", mas para quem fala o que não agrada ao STF, pq a grande mídia, que divulga fake news, diariamente , nada lhe acontece. Só prova a questão política, que há por trás...",-1
['1597340655608795136'],1597340655608795136,"@IracemaHorta Kkkkkkkkkkk
Comédia...

Arthur Lira sendo Arthur Lira.

Por isso que ele não permitiu a CPI.

Canalha.

Já deixou de ser caso de política. Virou caso de lesa pátria.",-1
['1597340650651123713'],1597340650651123713,"@dojaciat @Pocah ESTAMOS NA POHA DA COPA,TU QUERIA QUE ELA VESTISSE QUE ROUPA CRLH ? ENFIA A POLITÍCA NO C*",-1
['1597340632078434304'],1597340632078434304,"@carmelonetobr Mais uma mentira de Bolsonazista.
Entende de futebol como de liderança política. Kkkkk",-1
['1597340618489225216'],1597340618489225216,@hoje_no breve numa esquina perto de você... faz o L! https://t.co/WhALKWdP0P,-1
['1597340610591358976'],1597340610591358976,"@UOL Doente está nossa arte, artistas renomados que nao sobrevivem.l sem dinheiro publico(ou seja o seu dinheiro) qual outra classe trabalhadora(fora a politica) que vive de dinheiro publico? Afinal a constituiçao garante ou nao igualdade para todos? Isso é democrático??",-1
['1597340608024264705'],1597340608024264705,"Vc sabia? Bolsonaro é mentiroso. Veja 50 segundos do puro suco do bolsonarismo: https://t.co/Tkah6fOEE3 
 https://t.co/y8OQYZ62Lr",-1
['1597340579708678144'],1597340579708678144,"@gleisi Muitas coisas são lamentáveis, o importante é que o governo Bolsonaro é o que mais tirou pessoas da linha da pobreza no mundo. Se o governo Lula seguir com a política arcaica, nomeando ministros por troca de favores ao invés de capacidade, vc vai ver o que acontecerá com o Brasil",0
['1597340576378413057'],1597340576378413057,Randolfe Rodrigues apresenta projeto de lei contra assédio ideológico https://t.co/KIZSKxv5uJ,0
['1597340572900941825'],1597340572900941825,"4) razão pela qual faço esse público apelo. 

Posso afirmar que  esse problema só não foi solucionado antes  por mera falta de vontade política, pois várias abaixo assinados já foram entregues nas gestões anteriores. 

Apesar de ser um problema GIGANTE  para os moradores,  para a",-1
['1597340570535751681'],1597340570535751681,"@andr_mariano15 @AleGZahra38 Trouxas!!!
https://t.co/AKOTR9oS1f",-1
['1597340569771986944'],1597340569771986944,"3) razão pela qual faço esse público apelo. 

Posso afirmar que  esse problema só não foi solucionado antes  por mera falta de vontade política, pois várias abaixo assinados já foram entregues nas gestões anteriores. 

Apesar de ser um problema GIGANTE  para os moradores,  para",r
['1597340558317432834'],1597340558317432834,"eu juro, eu não sabia nada sobre política é muito menos futebol!!!!!!!!! scr",0
['1597340553032929280'],1597340553032929280,"@UOLNoticias Não importa qual lado vc está... @EduardoJorge eh uma das vozes mais sensatas da política brasileira.

Respeito demais esse cara.",1
['1597340540437401600'],1597340540437401600,"@carlahaquevedo @mmiguelhorta @CamaraLisboa disparate.
Também se combate a corrupção na política proibindo a política? Também se combatem os assaltos a bancos fechando-os? É preciso bom senso",0
['1597340534435385344'],1597340534435385344,"@Prod1le @MyContaTuiter você reduziu toda a ideologia a uma frase, escanteando outros pilares como o nacionalismo exacerbado, totalitarismo, proibição de participação política popular, militarismo, hierarquização da sociedade, anticomunismo. não dá pra aplicar nada disso a nenhum dos nomes que eu citei",-1
['1597340527799988225'],1597340527799988225,"@dujinho @rodrigodasilva https://t.co/qLyoQYhQPd
A fonte do gráfico é essa aqui e ele simplesmente está afirmando na reportagem que o vírus foi criado. 
Fora isso tudo você ainda fala como se a Suécia não tivesse feito nada. Isso é falso. Adotaram a política imunização de rebanho, começou a ruim(...)",1
['1597340520195719168'],1597340520195719168,"@realpfigueiredo Entre os militares não deveria ter clima algum , pois deveriam ser totalmente isentos de política e pensarem somente no que é melhor p/o nosso Pais ! Agora se estão em clima , uns querem resolver e outros não estão nem ai ! Me desculpe a sinceridade !😢Não tem mais saida !",-1
['1597340485638828032'],1597340485638828032,@SamoelMaia123 Sem dúvida ! Dívida de gratidão eterna por quem lutou e luta por nossa liberdade! Deus abençoe o nosso Presidente! O primeiro político que me fez acreditar que existem pessoas que entram na política para fazer o bem ao povo!,1
['1597340441237917696'],1597340441237917696,@gleisi Vai continuar torcendo para o Neymar ficar fora da seleção apenas por divergência política ?,0
['1597340427962621952'],1597340427962621952,"@folha Calma, vamos encontrar uma desculpa: pode ser:
1. Não é política, é pelo Brasil
2. Nosso movimento não tem político;
3. O cara trabalhou muito, é só uma vezinha…
4…..",-1
['1597340427467644928'],1597340427467644928,"A questão não é política, é sobre legalidade! Não estamos contra ou a cor de qualquer candidato, sim contra a censura, prisões ilegais, falta de liberdade, abusos de autoridade, etc. https://t.co/C2hyPTnJaG",-1
['1597340424716574720'],1597340424716574720,@UOLNoticias Ele tem liberdade pra expressar sua opinião política nos seus shows correto ? nada mais justo do que ele respeitar a opinião pública!,0
['1597340417917595649'],1597340417917595649,"@NoUserForAGame Mas é aquilo, SW sério, acho isso cômico em muito momentos, mas conseguiram fazer funcionar a algo que curti muito dessa série foi eles FINALMENTE mostrarem o império como força política e administrativa, o custo da luta rebelde e tal, é interessante",1
['1597340398493786112'],1597340398493786112,@alveszszz_ @_Lady_Newton_ @zagreeu @choquei É proibido comemoração envolvendo política em copa. Tem punição nisso. O jogador da Suíça fez isso há 4 anos atrás e foi punido.,0
['1597340381917900800'],1597340381917900800,"@alvaromeira17 Não ""dizem"", ele está lá comemorando 

https://t.co/ibJVRptDjA",0
['1597340369326575617'],1597340369326575617,"Mercosul não é uma união aduaneira perfeita 
Não é um ambiente de estabilidade política 
Foi uma resposta aos esgotamento dos modelos de desenvolvimento baseados na substituição de importações adotados pelas duas principais economias do bloco",0
['1597340353430171648'],1597340353430171648,"Hahaha e os patriotas na chuva 
https://t.co/cTraTjhgWd",-1
['1597340352733904897'],1597340352733904897,"@PATRlOTAS Esse idiota @BolsonaroSP não se elege NUNCA MAIS, o brasileiro não esquece e não perdoa esse tipo de atitude. Palhaço, cínico que se aproveita do hombridade do pai para se manter na política.",-1
['1597340328813506560'],1597340328813506560,"@rafaelgloves Depois disso se o pai dele nao der o contra golpe, ja era a carreira política dele

Que com certeza vai respingar no pai e nos irmãos",-1
['1597340303308259329'],1597340303308259329,"@ducavendish Modinha de cretinos. Bolsonaro é o único responsável por arrombar as portas da máfia política. É por ele sim! Em caso de nossa vitória, Bolsonaro é o único ser humano confiável neste país para manter as coisas no bom caminho sem desvios. Todos os demais tem preço o capitão não.",1
['1597340274724069376'],1597340274724069376,"Tantos corruptos na política, tantos corruptos no mundo.
A honestidade vem de berço ?

https://t.co/0r9fDRL9Fw",r
['1597340247544954880'],1597340247544954880,"@maybewashere @Lars232135 @Francis28632169 @isaiassaad Cara, olha o seu argumento. “Não e doença porque não tá no CID” quando foi retirado do COD justamente por pressa política! 
Meu pai, você não consegue perceber o quão contraditório você é?",-1
